Trial,Cue,Category,Prob_cat,CueOnset,CueOffset,Prediction,ReactionTime,PredOnset,PredOffset,WordOnset,WordOffset,condition,Correct
1,Cue 2,ANIMAL,Congruent,59.135466099949554,60.65132740000263,0,62.518386899959296,62.1544794999063,63.6685923000332,65.1700774000492,66.66883270000108,congruent,1
2,Cue 2,ANIMAL,Congruent,68.17017439985648,69.71888569998555,0,71.60623759985901,71.23108299984597,72.73539479984902,74.23689939989708,75.7356346999295,congruent,1
3,Cue 1,TOOL,Congruent,77.23688109987415,78.78569839987904,1,80.60241329995915,80.29789990000427,81.80266369995661,83.30367089994252,84.80240429984406,congruent,1
4,Cue 1,TOOL,Congruent,86.30372319999151,87.85249119997025,1,89.66921149985865,89.36494779982604,90.8690396999009,92.37049530004153,93.86927809985356,congruent,1
5,Cue 2,ANIMAL,Congruent,95.37053269986065,96.9193166999612,1,98.7203559000045,98.4314695999492,99.9356430999469,101.43730049999432,102.93607899989,congruent,1
6,Cue 1,TOOL,Congruent,104.43734869989568,105.98614339996128,1,107.8360090998467,107.50016009993853,109.01935399998912,110.52075839997268,112.01957919984125,congruent,1
7,Cue 2,ANIMAL,Congruent,113.52083379984832,115.06963659985922,0,116.88636979996228,116.58184070000424,118.08625889988616,119.58759869984353,121.08636479987764,congruent,1
8,Cue 2,ANIMAL,Congruent,122.58761699986644,124.13643649988808,0,126.06982710002922,125.64866489986888,127.15298040001652,128.65438809990883,130.15323629998602,congruent,1
9,Cue 2,ANIMAL,Congruent,131.65517170005478,133.20380369992927,0,135.490754700033,134.71602030005306,136.21968219988048,137.72172969998792,139.22050890000537,congruent,1
10,Cue 1,TOOL,Congruent,140.72175419982523,142.27055260003544,1,144.09078800003044,143.78290760004893,145.303247399861,146.80520119983703,148.30399989988655,congruent,1
11,Cue 1,TOOL,Congruent,149.80525909992866,151.35404619993642,1,153.224243799923,152.86633059987798,154.37005819985643,155.87201389996335,157.37080739997327,congruent,1
12,Cue 2,ANIMAL,Congruent,158.87206179997884,160.4375801999122,0,162.2535545998253,161.94997459999286,163.4533207998611,164.95552139985375,166.45428989990614,congruent,1
13,Cue 2,ANIMAL,Congruent,167.95555870002136,169.50433230004273,0,171.32054889993742,171.01652179984376,172.52051980001852,174.02230049995703,175.52109789988026,congruent,1
14,Cue 2,ANIMAL,Congruent,177.02234819997102,178.5711483999621,0,180.4540740000084,180.0833457999397,181.5869223999325,183.08911209995856,184.58793669985607,congruent,1
15,Cue 2,ANIMAL,Congruent,186.0891447998584,187.63796589989207,0,189.4875282999128,189.15017229993828,190.6540591998492,192.15595959988423,193.6547317998484,congruent,1
16,Cue 1,TOOL,Congruent,195.15596059989184,196.7047606999986,1,198.5376249998808,198.2168827999849,199.7208215999417,201.22275749989785,202.72153660003096,congruent,1
17,Cue 2,ANIMAL,Congruent,204.22283830004744,205.77157189999707,0,207.63786119990985,207.2840167998802,208.7887206999585,210.28957829996943,211.7883881998714,congruent,1
18,Cue 1,TOOL,Congruent,213.28965429984964,214.8384004998952,1,216.6212968998589,216.3506286998745,217.854432299966,219.35641249991025,220.85516639985144,congruent,1
19,Cue 2,ANIMAL,Congruent,222.35641129990108,223.9052238999866,0,225.8754106999841,225.4174193998333,226.92129209986888,228.4231791999191,229.9220102999825,congruent,1
20,Cue 1,TOOL,Congruent,231.4232763999608,232.9720435999334,1,234.889170399867,234.48430479993112,235.98814439983107,237.4899921000469,238.9887951000128,congruent,1
21,Cue 2,ANIMAL,Congruent,240.49006889993325,242.03883149987087,0,243.87176049989648,243.55103549989872,245.054774499964,246.55681149987504,248.0557488000486,congruent,1
22,Cue 2,ANIMAL,Congruent,249.5568599998951,251.10572139988653,0,253.07202119985595,252.6178603000008,254.12154709990136,255.6236236998812,257.12242859997787,congruent,1
23,Cue 1,TOOL,Congruent,258.6237001998816,260.18836869997904,1,261.9886566000059,261.7014639999252,263.20523809990846,264.7069274999667,266.20585899986327,congruent,1
24,Cue 1,TOOL,Congruent,267.7071797000244,269.25594219984487,1,271.1722107999958,270.7681175000034,272.2719507999718,273.77404689998366,275.2727351000067,congruent,1
25,Cue 1,ANIMAL,Congruent,276.77399259991944,278.3227829998359,1,280.1386617999524,279.83516759984195,281.3388106999919,282.8407374999952,284.3395559999626,incongruent,0
26,Cue 1,TOOL,Congruent,285.84080330003053,287.38958789990284,0,289.1891459999606,288.9017892999109,290.4056241000071,291.9075551000424,293.4063434000127,congruent,1
27,Cue 2,ANIMAL,Congruent,294.90759600000456,296.4564020000398,0,298.2932072998956,297.9690485999454,299.47248969995417,300.9744013999589,302.47317929985,congruent,1
28,Cue 2,ANIMAL,Congruent,303.9744150999468,305.5233398999553,0,307.5561212999746,307.03563609998673,308.5392028999049,310.0412095000502,311.53997979988344,congruent,1
29,Cue 2,ANIMAL,Congruent,313.0412347000092,314.5900941998698,0,316.80628259992227,316.1021958999336,317.60612989985384,319.10799349984154,320.6068002998363,congruent,1
30,Cue 1,TOOL,Congruent,322.1080267999787,323.6568511999212,1,325.4900197999086,325.169064699905,326.6737599999178,328.1748086998705,329.6736136998516,congruent,1
31,Cue 2,ANIMAL,Congruent,331.17487420002,332.7236555998679,0,334.5401174998842,334.23025309992954,335.73967509996146,337.2416666999925,338.74043500004336,congruent,1
32,Cue 2,ANIMAL,Congruent,340.24193329992704,341.79053250001743,0,343.8400594999548,343.3027558999602,344.8065545000136,346.3084467998706,347.8072595000267,congruent,1
33,Cue 2,ANIMAL,Congruent,349.3085043998435,350.85729209985584,0,352.69650870002806,352.3695165999234,353.87334499997087,355.37528959987685,356.87406219984405,congruent,1
34,Cue 1,ANIMAL,Congruent,358.3753122999333,359.9242075998336,1,361.8609807998873,361.4363457998261,362.940115599893,364.44212000002153,365.940881999908,incongruent,0
35,Cue 1,TOOL,Congruent,367.4421176998876,369.0075880999211,1,370.923559299903,370.5198713999707,372.02338019991294,373.5255662000272,375.0243848999962,congruent,1
36,Cue 1,TOOL,Congruent,376.5255990999285,378.0577469000127,1,379.9237869998906,379.570719299838,381.0904010999948,382.5924225999042,384.0911856999155,congruent,1
37,Cue 2,ANIMAL,Congruent,385.59245370002463,387.1412219000049,0,389.04087829985656,388.6535219999496,390.1572386999615,391.6592118998524,393.1579978999216,congruent,1
38,Cue 1,TOOL,Congruent,394.6592365000397,396.2080357999075,1,398.0075260000304,397.7205135000404,399.2240921000485,400.726026999997,402.2248175998684,congruent,1
39,Cue 1,TOOL,Congruent,403.7260789000429,405.2748673998285,1,407.0910889999941,406.78708769986406,408.2909780000337,409.7928434000351,411.2915961998515,congruent,1
40,Cue 1,TOOL,Congruent,412.79291690001264,414.3417068000417,1,416.3078189999797,415.8540640999563,417.3577594999224,418.8596613998525,420.35789259988815,congruent,1
41,Cue 2,TOOL,Congruent,421.8597542999778,423.3919438000303,0,425.31204029987566,424.9040161999874,426.4078692998737,427.9098234998528,429.4086388000287,incongruent,0
42,Cue 2,ANIMAL,Congruent,430.9098826998379,432.45869340002537,1,434.2622300998773,433.9708980999421,435.4746584999375,436.97661979985423,438.4754186999053,congruent,1
43,Cue 1,TOOL,Congruent,439.9766708998941,441.5254710000008,1,443.4625744000077,443.0376261998899,444.5415767999366,446.0434349998832,447.5422330999281,congruent,1
44,Cue 2,ANIMAL,Congruent,449.0434765999671,450.59236030001193,0,452.5417218999937,452.1043836998288,453.60833549988456,455.1102590998634,456.6090519998688,congruent,1
45,Cue 1,TOOL,Congruent,458.1102964999154,459.6590925999917,1,461.6417880998925,461.1713698999956,462.6751353999134,464.17710660002194,465.67588069988415,congruent,1
46,Cue 2,TOOL,Congruent,467.1771608998533,468.7259112999309,0,470.6422208999284,470.2381473998539,471.7419586998876,473.24391980003566,474.7426903999876,incongruent,0
47,Cue 2,ANIMAL,Congruent,476.2439349000342,477.7760607998353,0,479.57563149998896,479.288310199976,480.7922340999357,482.2940380999353,483.7928420000244,congruent,1
48,Cue 1,TOOL,Congruent,485.2942806000356,486.8596178998705,1,488.8133163999301,488.3716060000006,489.8756645999383,491.3775054998696,492.8763274999801,congruent,1
49,Cue 1,TOOL,Congruent,494.37758329999633,495.92643600003794,1,497.8256675999146,497.4400583999232,498.95890039997175,500.46101760002784,501.9598038999829,congruent,1
50,Cue 2,ANIMAL,Congruent,503.4610649999231,504.9932490999345,0,506.8301001000218,506.50539059983566,508.0092288998421,509.51118130004033,511.00995850004256,congruent,1
51,Cue 2,TOOL,Incongruent,512.5112065998837,514.0599807000253,0,515.9428415999282,515.57231089985,517.0760563998483,518.5779688998591,520.0768062998541,incongruent,0
52,Cue 1,ANIMAL,Incongruent,521.5781745000277,523.1268455998506,1,524.9303025999106,524.6390008998569,526.1428654999472,527.6447969998699,529.143153199926,incongruent,0
53,Cue 1,ANIMAL,Incongruent,530.6448415999766,532.1937573000323,0,533.9932484999299,533.6958798998967,535.209709599847,536.7116531999782,538.2104394000489,incongruent,1
54,Cue 2,TOOL,Incongruent,539.7116747000255,541.2604500998277,1,543.1766061000526,542.7726514998358,544.2763978999574,545.7784329999704,547.2772307000123,incongruent,1
55,Cue 1,ANIMAL,Incongruent,548.7784839000087,550.327324599959,0,552.2471967998426,551.836190899834,553.3430655000266,554.8453989999834,556.3440374999773,incongruent,1
56,Cue 2,TOOL,Incongruent,557.8452760998625,559.3775374998804,1,561.1767692998983,560.8896095999517,562.3935067998245,563.8954360999633,565.3942076999228,incongruent,1
57,Cue 1,ANIMAL,Incongruent,566.8954451000318,568.444334599888,0,570.2821138999425,569.9578306998592,571.4769822999369,572.9789258998353,574.4776691999286,incongruent,1
58,Cue 2,TOOL,Incongruent,575.9789149998687,577.5277103998233,1,579.3103569999803,579.0398980998434,580.5434554999229,582.0457086998504,583.5445359000005,incongruent,1
59,Cue 1,ANIMAL,Incongruent,585.0457440000027,586.5945394998416,0,588.4273101999424,588.1069509999361,589.6105740999337,591.1124886998441,592.6114391998854,incongruent,1
60,Cue 1,ANIMAL,Incongruent,594.1132465000264,595.661434300011,0,597.4607937999535,597.1735775000416,598.694128099829,600.1959649999626,601.6948024998419,incongruent,1
61,Cue 2,ANIMAL,Congruent,603.1960666999221,604.7448427998461,1,606.5609595999122,606.2573615999427,607.7608530998696,609.2628079999704,610.7616105000488,congruent,1
62,Cue 1,TOOL,Congruent,612.262846800033,613.8116623000242,1,615.5945830999408,615.3238178999163,616.8443831000477,618.3463079999201,619.8451081998646,congruent,1
63,Cue 2,ANIMAL,Congruent,621.3466486998368,622.8951989999041,0,624.6986614998896,624.4077302999794,625.927847799845,627.4298125000205,628.9285964998417,congruent,1
64,Cue 2,ANIMAL,Congruent,630.4298489999492,631.9786290999036,0,633.9446676999796,633.4908040999435,635.0113112998661,636.5132939999457,638.0120596999768,congruent,1
65,Cue 2,TOOL,Congruent,639.5133521000389,641.0615318999626,0,642.8782993999775,642.5754670999013,644.0781042999588,645.5800717999227,647.078646699898,incongruent,0
66,Cue 2,ANIMAL,Congruent,648.5802332998719,650.1290346998721,1,651.91175869992,651.6410906000528,653.1450014000293,654.6469111999031,656.1457104999572,congruent,1
67,Cue 2,ANIMAL,Congruent,657.6469453999307,659.1958560999483,0,661.1953044000547,660.7081118000206,662.2118466000538,663.7136998998467,665.2125156000257,congruent,1
68,Cue 2,ANIMAL,Congruent,666.7138038999401,668.2459638998844,0,670.0329905999824,669.7580699999817,671.2618941999972,672.7638925998472,674.2627989000175,congruent,1
69,Cue 2,ANIMAL,Congruent,675.7639204999432,677.3127156000119,0,679.1289790999144,678.8250021999702,680.3287561000325,681.830682199914,683.3294861998875,congruent,1
70,Cue 2,ANIMAL,Congruent,684.8307145999279,686.3795119998977,0,688.1800498999655,687.8918443999719,689.3955865998287,690.8974871998653,692.396283299895,congruent,1
71,Cue 2,TOOL,Incongruent,693.8976043998264,695.4463772999588,0,697.3958959998563,696.958639399847,698.4624662999995,699.9643025000114,701.4631004999392,incongruent,0
72,Cue 2,TOOL,Incongruent,702.9643673000392,704.5131393999327,0,706.3127754998859,706.0253914999776,707.529200399993,709.0312170998659,710.5299170999788,incongruent,0
73,Cue 2,TOOL,Incongruent,712.0311898000073,713.5800617998466,1,715.362693999894,715.0857772999443,716.5960472999141,718.0979400000069,719.5967425999697,incongruent,1
74,Cue 1,ANIMAL,Incongruent,721.0982496000361,722.6467815998476,0,724.5128299000207,724.1589050998446,725.662589199841,727.1647428998258,728.6635427000001,incongruent,1
75,Cue 2,TOOL,Incongruent,730.1648040998261,731.7135969998781,1,733.5199837998953,733.2257215999998,734.7296569999307,736.2315870998427,737.7300042998977,incongruent,1
76,Cue 1,ANIMAL,Incongruent,739.2316033998504,740.7804779999424,0,742.6131732000504,742.2933944000397,743.7964399999473,745.2984183998778,746.7971781999804,incongruent,1
77,Cue 1,ANIMAL,Incongruent,748.2984723998234,749.8472967999987,0,751.8342758000363,751.3593937999103,752.863276500022,754.3652124998625,755.8640109000262,incongruent,1
78,Cue 2,TOOL,Incongruent,757.3652673999313,758.9140371999238,1,760.813519799849,760.4263675999828,761.9301062999293,763.4320491000544,764.9308028998785,incongruent,1
79,Cue 1,ANIMAL,Incongruent,766.4320692999754,767.980854799971,0,769.7804314000532,769.4930871999823,770.9968536999077,772.4988169998396,773.9972710998263,incongruent,1
80,Cue 2,ANIMAL,Incongruent,775.4989207000472,777.0476670998614,0,778.9804296998773,778.5599311999977,780.0636876998469,781.5656424998306,783.0644743000157,congruent,1
81,Cue 2,ANIMAL,Congruent,784.566619399935,786.1144838000182,0,787.9472667998634,787.6266095999163,789.1305003999732,790.6324842998292,792.131252199877,congruent,1
82,Cue 2,ANIMAL,Congruent,793.6325131999329,795.1812940998934,0,797.0308969998732,796.6935165999457,798.1974213998765,799.6993207000196,801.1981216999702,congruent,1
83,Cue 2,ANIMAL,Congruent,802.6993048998993,804.2481802999973,0,806.0872918998357,805.7605876999442,807.2644113998394,808.7661021999083,810.2645314000547,congruent,1
84,Cue 1,TOOL,Congruent,811.7661351999268,813.3149415999651,1,815.1144900999498,814.8274361998774,816.3309442999307,817.8329096999951,819.3316996998619,congruent,1
85,Cue 1,TOOL,Congruent,820.833005100023,822.3817475000396,1,824.1813212998677,823.8940103999339,825.3978448000271,826.8997200999875,828.3985190000385,congruent,1
86,Cue 2,ANIMAL,Congruent,829.8997667999938,831.4485706000123,0,833.2813559998758,832.9608207999263,834.4645401998423,835.9665403999388,837.4653441999108,congruent,1
87,Cue 2,ANIMAL,Congruent,838.9665983000305,840.5155833999161,0,842.3648212000262,842.0277082000393,843.5314334998839,845.0333465000149,846.5321559999138,congruent,1
88,Cue 2,ANIMAL,Congruent,848.0334161999635,849.565532800043,0,851.6024694000371,851.077749799937,852.5815906999633,854.0835088000167,855.5823669000529,congruent,1
89,Cue 1,TOOL,Congruent,857.0835436999332,858.6490223999135,1,860.4319221000187,860.1611752999015,861.6650560998823,863.1669515999965,864.6657914000098,congruent,1
90,Cue 1,TOOL,Congruent,866.167053299956,867.7158425999805,1,869.5369406999089,869.2280451999977,870.7319219999481,872.233837199863,873.7326159998775,congruent,1
91,Cue 1,ANIMAL,Incongruent,875.2338614999317,876.7826551999897,1,878.5988626999315,878.294928399846,879.7986494998913,881.3006253000349,882.7994335000403,incongruent,0
92,Cue 1,ANIMAL,Incongruent,884.3006865999196,885.8497533998452,1,887.6490380000323,887.361713899998,888.8655375998933,890.3674359000288,891.8662749999203,incongruent,0
93,Cue 1,ANIMAL,Incongruent,893.3674810999073,894.9162973000202,0,896.7364908000454,896.4284716998227,897.932331699878,899.4342882998753,900.9330925999676,incongruent,1
94,Cue 1,ANIMAL,Incongruent,902.4343059000092,903.9830974000506,0,905.8200860000215,905.495303799864,906.999132100027,908.5010891999118,909.9998979000376,incongruent,1
95,Cue 1,ANIMAL,Incongruent,911.5011336999014,913.0499937999994,0,914.9158866999204,914.5621456999796,916.0657482000532,917.5679059999528,919.0667018999812,incongruent,1
96,Cue 1,ANIMAL,Incongruent,920.5679396998604,922.1167425999884,0,923.9164096999448,923.628988499986,925.1327942998614,926.6346483000088,928.133479199838,incongruent,1
97,Cue 2,TOOL,Incongruent,929.63476549997,931.1678980998696,1,933.0328814999666,932.6790861999616,934.1827393998392,935.6848605999256,937.1836631998884,incongruent,1
98,Cue 1,ANIMAL,Incongruent,938.684916799888,940.2338318999392,0,942.0166632998736,941.7459247000515,943.2497141000348,944.751718699932,946.2504862998612,incongruent,1
99,Cue 2,TOOL,Incongruent,947.7517118998804,949.3005309998988,1,951.0877063998488,950.8130924999714,952.3165774999652,953.8172251998913,955.317308299942,incongruent,1
100,Cue 1,ANIMAL,Incongruent,956.818616699893,958.3673461000436,0,960.183734399965,959.8795489999466,961.383345299866,962.8853704000358,964.3841515998356,incongruent,1
